Resource; Field; Cardinality; Definition; Type; Binding; Short; Producer Obligation; Consumer Obligation
EHDSCurrentPregnancy; header; 1..1; Basic metadata for this information; Base;   ; Basic metadata for this information ; SHALL:able-to-populate; 
EHDSCurrentPregnancy; header.subject; 1..1; Patient/subject information; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient;   ; Patient/subject information ; SHALL:able-to-populate; 
EHDSCurrentPregnancy; header.identifier; 0..*; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).; Identifier;   ; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries). ; ; 
EHDSCurrentPregnancy; header.author[x]; 0..*; Author of this observation; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; Author of this observation ; ; 
EHDSCurrentPregnancy; header.author[x]; 0..*; Author of this observation; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; Author of this observation ; ; 
EHDSCurrentPregnancy; header.author[x]; 0..*; Author of this observation; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice;   ; Author of this observation ; ; 
EHDSCurrentPregnancy; header.date; 0..1; Date and optionally time of authoring/issuing; dateTime;   ; Date and optionally time of authoring/issuing ; ; 
EHDSCurrentPregnancy; header.status; 1..1; Status of this observation; CodeableConcept;   ; Status of this observation ; SHALL:able-to-populate; 
EHDSCurrentPregnancy; header.source; 0..1; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.; CodeableConcept;   ; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information. ; ; 
EHDSCurrentPregnancy; header.language; 0..1; Language in which the resource is written. Language is expressed by the IETF language tag.; CodeableConcept; BCP 47 (preferred)  ; Language in which the resource is written. Language is expressed by the IETF language tag. ; ; 
EHDSCurrentPregnancy; currentPregnancyStatus; 1..1; Pregnancy status of the patient, e.g. pregnant, not pregnant, possible pregnancy; CodeableConcept; SNOMED CT (preferred)  ; Pregnancy status of the patient, e.g. pregnant, not pregnant, possible pregnancy ; SHALL:able-to-populate; 
EHDSCurrentPregnancy; dateOfStatus; 0..1; Effective date of the current pregnancy status.; dateTime;   ; Effective date of the current pregnancy status. ; SHALL:able-to-populate; 
EHDSCurrentPregnancy; expectedDateOfDelivery; 0..1; Date in which the woman is due to give birth. Year, day and month are required.; date;   ; Date in which the woman is due to give birth. Year, day and month are required. ; SHALL:able-to-populate; 
EHDSCurrentPregnancy; gestationalAge; 0..1; Gestational age - duration of the pregnancy on the day on which the patient was asked or at the delivery. The duration can be given in weeks and/or days.; Quantity;   ; Duration of the pregnancy at this day ; ; 
EHDSCurrentPregnancy; note; 0..1; Free text notes by the health professional regarding the current pregnancy.; string;   ; Free text notes by the health professional regarding the current pregnancy. ; ; 
EHDSDataSet; ; 0..*; Common elements (including header) for all documents and their independently functioning parts, e.g FHIR resources.; ;   ; DataSet model ; ; 
EHDSDataSet; header; 1..1; Basic metadata for this information; Base;   ; Basic metadata for this information ; ; 
EHDSDataSet; header.subject; 1..1; Patient/subject information; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient;   ; Patient/subject information ; ; 
EHDSDataSet; header.identifier; 0..*; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).; Identifier;   ; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries). ; ; 
EHDSDataSet; header.author[x]; 0..*; Author(s) responsible for the provided information. The exact role of the responsible author varies across use cases and is specific to individual models.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; Author(s) responsible for the provided information. ; ; 
EHDSDataSet; header.author[x]; 0..*; Author(s) responsible for the provided information. The exact role of the responsible author varies across use cases and is specific to individual models.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; Author(s) responsible for the provided information. ; ; 
EHDSDataSet; header.author[x]; 0..*; Author(s) responsible for the provided information. The exact role of the responsible author varies across use cases and is specific to individual models.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice;   ; Author(s) responsible for the provided information. ; ; 
EHDSDataSet; header.date; 0..1; Date and optionally time of authoring/issuing; dateTime;   ; Date and optionally time of authoring/issuing ; ; 
EHDSDataSet; header.status; 1..1; Status of the resource or document; CodeableConcept;   ; Status of the resource or document ; ; 
EHDSDataSet; header.source; 0..1; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.; CodeableConcept;   ; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information. ; ; 
EHDSDataSet; header.language; 0..1; Language in which the resource is written. Language is expressed by the IETF language tag.; CodeableConcept; BCP 47 (preferred)  ; Language in which the resource is written. Language is expressed by the IETF language tag. ; ; 
EHDSDevice; ; 0..*; Model for device information; ;   ; Device model ; ; 
EHDSDevice; instanceIdentifier; 0..*; Identifier of the device instance; Identifier;   ; Identifier of the device instance ; SHOULD:able-to-populate; 
EHDSDevice; udi; 0..*; Unique Device Identifier (UDI) value; Identifier;   ; Unique Device Identifier (UDI) value ; SHALL:able-to-populate; SHALL:process
EHDSDevice; manufacturer; 0..1; Name of device manufacturer. If the manufacturer code is included in an identifier, manufacturer must correspond to that code.; string;   ; Name of device manufacturer. If the manufacturer code is included in an identifier, manufacturer must correspond to that code. ; SHOULD:able-to-populate; SHOULD:display
EHDSDevice; manufactureDate; 0..1; The date and time when the device was manufactured; dateTime;   ; The date and time when the device was manufactured ; ; 
EHDSDevice; expiryDate; 0..1; The date and time beyond which this device is no longer valid or should not be used (if applicable); dateTime;   ; The date and time beyond which this device is no longer valid or should not be used (if applicable) ; ; 
EHDSDevice; lotNumber; 0..1; Lot number of device. May be omitted if included in an identifier.; string;   ; Lot number of device. May be omitted if included in an identifier. ; SHOULD:able-to-populate; 
EHDSDevice; serialNumber; 0..1; Serial number assigned by the manufacturer. May be omitted if included in an identifier.; string;   ; Serial number assigned by the manufacturer. May be omitted if included in an identifier. ; ; 
EHDSDevice; name; 0..*; The name and name type of the device.; Base;   ; The name and name type of the device. ; SHOULD:able-to-populate; SHOULD:display
EHDSDevice; name.value; 1..1; The name of the device as known to e.g. the manufacturer and/or patient; string;   ; The name of the device as known to e.g. the manufacturer and/or patient ; SHALL:able-to-populate; SHALL:display
EHDSDevice; name.type; 1..1; The type of name, e.g. UDI Label name, user friendly name; CodeableConcept;   ; The type of name, e.g. UDI Label name, user friendly name ; SHALL:able-to-populate; 
EHDSDevice; modelNumber; 0..1; The manufacturer's model number for the device; string;   ; The manufacturer's model number for the device ; SHOULD:able-to-populate; 
EHDSDevice; version; 0..*; The actual design of the device and/or software version running on the device; string;   ; The actual design of the device and/or software version running on the device ; SHOULD:able-to-populate; 
EHDSDevice; type; 0..*; Device type; CodeableConcept; SNOMED CT, EMDN (preferred)  ; Device type ; SHOULD:able-to-populate; 
EHDSDevice; note; 0..1; Device note and/or comment; string;   ; Device note and/or comment ; SHALL:able-to-populate, SHOULD:able-to-populate; SHALL:display
EHDSDeviceUse; ; 0..*; Model for information about the use of a device in the care of patient.; ;   ; Device use model ; ; 
EHDSDeviceUse; header; 1..1; Basic metadata for this information; Base;   ; Basic metadata for this information ; ; 
EHDSDeviceUse; header.subject; 1..1; Patient/subject information; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient;   ; Patient/subject information ; SHALL:able-to-populate; 
EHDSDeviceUse; header.identifier; 0..*; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).; Identifier;   ; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries). ; ; 
EHDSDeviceUse; header.author[x]; 0..*; The author of the device usage statement.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; The author of the device usage statement. ; ; 
EHDSDeviceUse; header.author[x]; 0..*; The author of the device usage statement.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; The author of the device usage statement. ; ; 
