Resource; Field; Cardinality; Definition; Type; Binding; Short; Producer Obligation; Consumer Obligation
EHDSLaboratoryObservation; component.result; 1..1; Result of the observation including text, numeric, coded, and other types of results of the measurement and measurement uncertainty. Content of the observation result will vary according to the type of the observation.; Base;   ; Result of the observation including text, numeric, coded, and other types of results of the measurement and measurement uncertainty. Content of the observation result will vary according to the type of the observation. ; SHALL:able-to-populate; SHALL:display
EHDSLaboratoryObservation; component.result.value[x]; 0..1; Observation result value according to the type of observation. Model covers only most frequently used data types but other data types can be used as well.
      Text result value should be used only if coded result value is not expected otherwise use valueCodeableConcept.text. For Quantity, Range and Ratio, result units of the measurement should be provided.; string; UCUM for units, SNOMED CT for coded results (preferred)  ; Observation result value according to the type of observation. Model covers only most frequently used data types but other data types can be used as well.
      Text result value should be used only if coded result value is not expected otherwise use valueCodeableConcept.text. For Quantity, Range and Ratio, result units of the measurement should be provided. ; SHALL:able-to-populate, SHOULD:able-to-populate; SHALL:display
EHDSLaboratoryObservation; component.result.value[x]; 0..1; Observation result value according to the type of observation. Model covers only most frequently used data types but other data types can be used as well.
      Text result value should be used only if coded result value is not expected otherwise use valueCodeableConcept.text. For Quantity, Range and Ratio, result units of the measurement should be provided.; Quantity; UCUM for units, SNOMED CT for coded results (preferred)  ; Observation result value according to the type of observation. Model covers only most frequently used data types but other data types can be used as well.
      Text result value should be used only if coded result value is not expected otherwise use valueCodeableConcept.text. For Quantity, Range and Ratio, result units of the measurement should be provided. ; SHALL:able-to-populate, SHOULD:able-to-populate; SHALL:display
EHDSLaboratoryObservation; component.result.value[x]; 0..1; Observation result value according to the type of observation. Model covers only most frequently used data types but other data types can be used as well.
      Text result value should be used only if coded result value is not expected otherwise use valueCodeableConcept.text. For Quantity, Range and Ratio, result units of the measurement should be provided.; Range; UCUM for units, SNOMED CT for coded results (preferred)  ; Observation result value according to the type of observation. Model covers only most frequently used data types but other data types can be used as well.
      Text result value should be used only if coded result value is not expected otherwise use valueCodeableConcept.text. For Quantity, Range and Ratio, result units of the measurement should be provided. ; SHALL:able-to-populate, SHOULD:able-to-populate; SHALL:display
EHDSLaboratoryObservation; component.result.value[x]; 0..1; Observation result value according to the type of observation. Model covers only most frequently used data types but other data types can be used as well.
      Text result value should be used only if coded result value is not expected otherwise use valueCodeableConcept.text. For Quantity, Range and Ratio, result units of the measurement should be provided.; Ratio; UCUM for units, SNOMED CT for coded results (preferred)  ; Observation result value according to the type of observation. Model covers only most frequently used data types but other data types can be used as well.
      Text result value should be used only if coded result value is not expected otherwise use valueCodeableConcept.text. For Quantity, Range and Ratio, result units of the measurement should be provided. ; SHALL:able-to-populate, SHOULD:able-to-populate; SHALL:display
EHDSLaboratoryObservation; component.result.value[x]; 0..1; Observation result value according to the type of observation. Model covers only most frequently used data types but other data types can be used as well.
      Text result value should be used only if coded result value is not expected otherwise use valueCodeableConcept.text. For Quantity, Range and Ratio, result units of the measurement should be provided.; CodeableConcept; UCUM for units, SNOMED CT for coded results (preferred)  ; Observation result value according to the type of observation. Model covers only most frequently used data types but other data types can be used as well.
      Text result value should be used only if coded result value is not expected otherwise use valueCodeableConcept.text. For Quantity, Range and Ratio, result units of the measurement should be provided. ; SHALL:able-to-populate, SHOULD:able-to-populate; SHALL:display
EHDSLaboratoryObservation; component.result.uncertainty; 0..1; Measurement uncertainty information about the observation result.; Base;   ; Measurement uncertainty type and interval if needed. ; SHOULD:able-to-populate; SHOULD:display
EHDSLaboratoryObservation; component.result.uncertainty.value; 1..1; The numerical value of the measurement uncertainty.; decimal;   ; The numerical value of the measurement uncertainty. ; ; 
EHDSLaboratoryObservation; component.result.uncertainty.type; 0..1; Probability Distribution Type for uncertainty; Coding; HL7 ProbabilityDistributionType (preferred)  ; Probability Distribution Type for uncertainty ; ; 
EHDSLaboratoryObservation; component.result.dataAbsentReason; 0..1; Provides a reason why the expected value in the element component.value[x] is missing.; CodeableConcept; HL7 Data absent reason (preferred)  ; Provides a reason why the expected value in the element component.value[x] is missing. ; SHALL:able-to-populate; SHALL:display
EHDSLaboratoryObservation; component.referenceRange; 0..*; Reference range, multiple reference ranges of different types could be provided. Provides guide for interpretation of the result.; Base;   ; Reference range, multiple reference ranges of different types could be provided. Provides guide for interpretation of the result. ; SHALL:able-to-populate; SHALL:display
EHDSLaboratoryObservation; component.referenceRange.low; 0..1; Low limit of the reference range.; Quantity; UCUM for units (preferred)  ; Low limit of the reference range. ; SHALL:able-to-populate; SHALL:display
EHDSLaboratoryObservation; component.referenceRange.high; 0..1; High limit of the reference range.; Quantity; UCUM for units (preferred)  ; High limit of the reference range. ; SHALL:able-to-populate; SHALL:display
EHDSLaboratoryObservation; component.referenceRange.normalValue; 0..1; Normal value, if relevant for the reference range.; CodeableConcept; SNOMED CT (preferred)  ; Normal value, if relevant for the reference range. ; SHOULD:able-to-populate; SHALL:display
EHDSLaboratoryObservation; component.referenceRange.type; 0..1; Type of reference range.; CodeableConcept; HL7 Observation Reference Range Meaning Codes (preferred)  ; Type of reference range. ; SHALL:able-to-populate; SHALL:display
EHDSLaboratoryObservation; component.referenceRange.appliesTo; 0..*; Codes to indicate the target population this reference range applies to. For example, a reference range may be based on the normal population or a particular sex or race. Multiple appliesTo are interpreted as an \"AND\" of the target populations.; CodeableConcept; SNOMED CT, HL7 v3-Race (preferred)  ; Codes to indicate the target population this reference range applies to. ; SHALL:able-to-populate; 
EHDSLaboratoryObservation; component.referenceRange.age; 0..1; Age range to which this reference range applies if applicable.; Range; UCUM for units (preferred)  ; Age range to which this reference range applies if applicable. ; SHALL:able-to-populate; 
EHDSLaboratoryObservation; component.referenceRange.text; 0..1; Text based reference range in an observation which may be used when a quantitative range is not appropriate for an observation. An example would be a reference value of \"Negative\" or a list or table of \"normals\".; string;   ; Text based reference range in an observation. ; SHOULD:able-to-populate; SHALL:display
EHDSLaboratoryObservation; component.interpretation; 0..*; Information about reference intervals and result interpretation.; CodeableConcept; SNOMED CT, HL7 ObservationInterpretation (preferred)  ; Information about reference intervals and result interpretation. ; SHALL:able-to-populate; SHALL:display
EHDSLaboratoryObservation; derivedFrom[x]; 0..*; Reference to the related resource from which the observation has been made. For example, a calculated anion gap or a fetal measurement based on an ultrasound image.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSObservation;   ; Reference to the related resource from which the observation has been made. For example, a calculated anion gap or a fetal measurement based on an ultrasound image. ; SHOULD:able-to-populate; 
EHDSLaboratoryObservation; derivedFrom[x]; 0..*; Reference to the related resource from which the observation has been made. For example, a calculated anion gap or a fetal measurement based on an ultrasound image.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSLaboratoryObservation;   ; Reference to the related resource from which the observation has been made. For example, a calculated anion gap or a fetal measurement based on an ultrasound image. ; SHOULD:able-to-populate; 
EHDSLaboratoryObservation; derivedFrom[x]; 0..*; Reference to the related resource from which the observation has been made. For example, a calculated anion gap or a fetal measurement based on an ultrasound image.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSImagingStudy;   ; Reference to the related resource from which the observation has been made. For example, a calculated anion gap or a fetal measurement based on an ultrasound image. ; SHOULD:able-to-populate; 
EHDSLaboratoryObservation; hasMember[x]; 0..*; This observation is a group observation (e.g. a battery, a panel of tests, a set of vital sign measurements) that includes the target as a member of the group.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSLaboratoryObservation;   ; This observation is a group observation (e.g. a battery, a panel of tests, a set of vital sign measurements) that includes the target as a member of the group. ; SHOULD:able-to-populate; 
